,0,1,2,3
0,1,15789,12704,517
1,2,5385,9,3695
2,3,12865,3376,3130
3,4,21493,25038,3124
4,5,1349,16917,1338
5,6,23029,21409,1880
6,7,11,10526,10524
7,8,848,16146,6281
8,9,2,3693,3695
9,10,1889,1885,12563
10,11,7,10524,10526
11,12,12371,13062,8245
12,13,10526,13463,10524
13,14,9196,13269,14236
14,15,24113,18186,11914
15,16,17114,6156,14746
16,17,4845,13,3127
17,18,23992,24927,2019
18,19,11836,1377,6408
19,20,21983,1564,12726
20,21,1567,6002,3929
21,22,6195,5194,23018
22,23,5194,16675,5319
23,24,14922,15278,21161
24,25,14898,14548,24519
25,26,21161,11249,23150
26,27,23809,7066,15279
27,28,7029,552,7469
28,29,79,8927,23236
29,30,14563,12222,5130
30,31,12253,16260,5511
31,32,15879,14275,15859
32,33,7782,22452,14926
33,34,21573,2950,1807
34,35,36,12890,13033
35,36,35,12890,13033
36,37,19932,15331,8422
37,38,40,18049,16058
38,39,15348,10390,3592
39,40,38,15336,24054
40,41,19687,22241,21577
41,42,5793,4898,22816
42,43,52,12378,6768
43,44,21666,12360,9309
44,45,14270,47,24080
45,46,48,18289,15392
46,47,15391,7609,19363
47,48,7530,46,18289
48,49,4897,10658,6659
49,50,9733,20033,7699
50,51,20000,6670,9038
51,52,21730,43,23440
52,53,24708,15409,22901
53,54,19390,13400,18824
54,55,31,29,605
55,56,7221,7366,18492
56,57,4453,4460,3087
57,58,59,8549,15364
58,59,58,8549,12889
59,60,5129,8413,21144
60,61,11037,20343,14563
61,62,61,11037,14100
62,63,19432,15103,25241
63,64,21163,7606,13874
64,65,14942,68,22039
65,66,15376,22918,15374
66,67,10047,23854,10995
67,68,65,2910,69
68,69,68,15374,2910
69,70,19528,2033,22196
70,71,1994,19680,14050
71,72,14148,19385,15421
72,73,74,64,13874
73,74,73,14939,5232
74,75,19337,1158,15382
75,76,9941,13441,14202
76,77,8055,13179,18820
77,78,13033,12890,17855
78,79,2232,8001,15834
79,80,8357,4633,15478
80,81,949,155,5151
81,82,5945,155,8896
82,83,19474,21223,22993
83,84,14996,17303,20183
84,85,21140,14827,9775
85,86,6043,1331,6039
86,87,13993,19641,86
87,88,21165,16714,22181
88,89,21626,8564,19061
89,90,7990,24896,183
90,91,88,3253,22181
91,92,8033,24469,23672
92,93,3257,21969,6629
93,94,6164,10894,5927
94,95,98,3999,10888
95,96,4991,10936,10580
96,97,9573,99,14324
97,98,11860,482,21422
98,99,9573,105,15615
99,100,7227,7436,7226
100,101,8222,15775,22638
101,102,3963,20211,3967
102,103,7436,8387,23925
103,104,99,101,9573
104,105,99,14610,24729
105,106,24894,3956,9280
106,107,23499,11492,11183
107,108,5226,7060,3715
108,109,12629,7399,3334
109,110,111,1642,712
110,111,110,1642,712
111,112,236,5152,113
112,113,14305,11577,236
113,114,15657,3003,20183
114,115,15808,109,16512
115,116,10662,6557,12174
116,117,15587,4241,19117
117,118,3633,19974,6857
118,119,8704,6557,9105
119,120,8886,650,463
120,121,3758,3763,2296
121,122,5109,10662,9126
122,123,124,8251,11919
123,124,8251,5229,20809
124,125,7762,18651,1420
125,126,910,16576,16279
126,127,18722,5679,12515
127,128,12124,465,908
128,129,836,18700,116
129,130,8251,11439,11138
130,131,9795,20809,9297
131,132,3368,3367,5673
132,133,5235,13567,135
133,134,21101,2878,7289
134,135,4700,3389,4778
135,136,23338,6366,21666
136,137,22317,7962,19900
137,138,22486,9136,15857
138,139,7320,21522,1579
139,140,22388,7916,1832
140,141,7404,6145,17711
141,142,15738,152,8858
142,143,6457,4251,15702
143,144,10781,14729,12923
144,145,15154,21058,15887
145,146,13707,5960,19697
146,147,18996,3876,10681
147,148,546,107,11042
148,149,15741,5348,148
149,150,12478,4204,5348
150,151,4965,12264,5637
151,152,15738,19737,11315
152,153,22942,16093,10038
153,154,10171,9812,3883
154,155,949,161,3714
155,156,12763,157,10344
156,157,156,12763,5842
157,158,15769,18121,19343
158,159,2626,18135,11884
159,160,8149,15036,22072
160,161,5628,949,155
161,162,20136,5175,16401
162,163,3973,20237,2624
163,164,707,7740,8149
164,165,18218,15,19447
165,166,8370,22048,4409
166,167,4545,25008,17378
167,168,5240,12269,16706
168,169,1593,23059,2021
169,170,2728,13061,12477
170,171,10268,3999,6376
171,172,9944,10681,10174
172,173,5978,12923,183
173,174,15686,1265,186
174,175,90,186,17189
175,176,186,10781,175
176,177,185,25218,9516
177,178,173,183,12585
178,179,3440,25169,14190
179,180,354,1581,8952
180,181,20567,15772,6973
181,182,4867,6319,1252
182,183,5113,18135,10681
183,184,188,1238,4867
184,185,25085,18674,13720
185,186,2615,175,176
186,187,386,2744,5210
187,188,184,1258,1238
188,189,12449,12537,12758
189,190,12271,17169,5189
190,191,12444,11726,1945
191,192,5620,22673,172
192,193,15776,20194,2422
193,194,22901,5037,8562
194,195,11420,179,20917
195,196,3689,4913,15790
196,197,8114,772,23906
197,198,204,11686,989
198,199,211,227,948
199,200,979,1345,4145
200,201,19064,4107,19065
201,202,8613,11544,3849
202,203,223,15810,15819
203,204,980,1006,198
204,205,23903,5173,13328
205,206,1293,11511,10944
206,207,1003,15823,4554
207,208,3930,6234,6584
208,209,14728,3849,11544
209,210,6536,11946,11097
210,211,199,217,12045
211,212,983,11543,1302
212,213,20542,14109,18770
213,214,9410,2750,2007
214,215,14977,8366,11005
215,216,8366,11578,12291
216,217,211,10184,9787
217,218,4878,11687,11585
218,219,3849,12276,14728
219,220,15793,10591,7437
220,221,3398,8942,9300
221,222,8811,1015,1022
222,223,989,1006,204
223,224,12163,10912,1301
224,225,13546,11305,5432
225,226,998,8525,8527
226,227,199,3601,15802
227,228,5259,15796,8172
228,229,15804,854,10753
229,230,9761,4882,3278
230,231,10591,11097,1368
231,232,10912,13125,9859
232,233,8838,234,235
233,234,235,3573,10228
234,235,234,11401,10228
235,236,18771,5152,8365
236,237,15790,15796,4995
237,238,8948,18907,8605
238,239,7849,16913,10912
239,240,6200,12899,1356
240,241,6414,11942,5287
241,242,981,1022,4485
242,243,8871,244,247
243,244,8871,243,247
244,245,248,13479,13477
245,246,8870,247,2627
246,247,244,8871,246
247,248,245,13479,13477
248,249,255,7943,9348
249,250,11815,8622,251
250,251,253,256,1915
251,252,261,267,17253
252,253,256,251,1918
253,254,1910,258,1909
254,255,249,12356,1906
255,256,253,1918,251
256,257,259,1918,5848
257,258,254,6268,12062
258,259,11815,11398,257
259,260,12762,253,1918
260,261,17253,11398,267
261,262,3862,3861,3863
262,263,2367,10365,659
263,264,1917,266,23073
264,265,249,4569,7943
265,266,264,9348,8441
266,267,261,252,5652
267,268,11815,12405,14596
268,269,13041,5854,13147
269,270,21956,15848,13481
270,271,5071,11867,16157
271,272,29,5948,10469
272,273,14281,9131,15400
273,274,13064,18821,1729
274,275,6722,19650,6724
275,276,14288,4907,22900
276,277,7985,6726,1794
277,278,4684,18745,4277
278,279,10700,7888,23102
279,280,5685,19042,15868
280,281,15858,2135,11600
281,282,20400,2491,7518
282,283,18480,7934,478
283,284,9518,289,20828
284,285,12386,475,17032
285,286,21183,22462,14376
286,287,3087,3088,1799
287,288,9836,24853,22456
288,289,284,9518,22814
289,290,15898,870,8183
290,291,15898,15899,4979
291,292,4458,15891,8560
292,293,15896,15897,1331
293,294,298,13874,20350
294,295,290,3381,8560
295,296,15896,293,15897
296,297,3383,7001,7324
297,298,7674,4947,294
298,299,298,13874,15383
299,300,7670,4946,15891
300,301,15889,23584,21951
301,302,8561,5365,22903
302,303,304,22447,1971
303,304,303,8085,15904
304,305,3722,306,307
305,306,15917,8351,7501
306,307,15906,1964,25159
307,308,7855,315,310
308,309,2771,18893,4459
309,310,15161,14008,10375
310,311,315,6274,3537
311,312,314,686,4082
312,313,6274,13982,7560
313,314,319,758,312
314,315,308,311,7855
315,316,3437,19709,3695
316,317,318,10962,310
317,318,317,308,10962
318,319,2169,9180,56
319,320,322,4669,1027
320,321,4669,320,5582
321,322,3106,320,5582
322,323,6433,338,5174
323,324,1040,12542,6594
324,325,340,12880,1040
325,326,5272,323,344
326,327,5174,1036,4669
327,328,329,336,12742
328,329,12742,6433,6088
329,330,6448,352,5558
330,331,12746,19246,16920
331,332,6612,21505,17266
332,333,2638,8295,10228
333,334,4273,2974,16399
334,335,21831,3058,333
335,336,6087,5889,6088
336,337,6087,338,344
337,338,337,323,6087
338,339,345,3839,1040
339,340,5274,1040,1407
340,341,11904,17313,17504
341,342,8316,24326,14450
342,343,12743,22903,1326
343,344,323,337,353
344,345,339,4391,6904
345,346,5798,11769,5686
346,347,16143,16141,18061
347,348,14615,6903,783
348,349,14017,3473,3341
349,350,1261,1430,11064
350,351,4796,5923,2642
351,352,13615,6448,2256
352,353,344,5174,323
