,0,1,2,3
0,1,24039,8631,11059
1,2,5386,23164,16674
2,3,3593,5784,3695
3,4,21,21494,25039
4,5,5848,11986,13125
5,6,23030,12586,21410
6,7,11,10,10527
7,8,10796,848,16147
8,9,2,3694,3696
9,10,7,1889,11
10,11,7,10525,10
11,12,12372,13063,3171
12,13,1579,10527,1566
13,14,9143,9197,13270
14,15,24114,18187,11915
15,16,23000,20485,5035
16,17,4846,3151,13
17,18,5191,10078,23993
18,19,3696,11837,10963
19,20,10798,15633,11563
20,21,4,1567,3162
21,22,14020,6196,5195
22,23,23850,5077,24729
23,24,14923,34,15352
24,25,14899,14549,24520
25,26,21162,11250,40
26,27,23810,7067,15280
27,28,7030,552,7470
28,29,37,8766,79
29,30,14564,11230,12223
30,31,7431,17300,12254
31,32,15880,13821,9480
32,33,7840,21167,7783
33,34,24,15352,21574
34,35,36,12891,13034
35,36,35,12891,7431
36,37,29,55,19933
37,38,40,41,23151
38,39,7030,21766,12072
39,40,38,26,41
40,41,40,38,23151
41,42,1158,1156,5864
42,43,52,19322,17435
43,44,21667,12361,9310
44,45,24547,14833,46
45,46,48,18290,15393
46,47,48,15392,17492
47,48,47,7531,19364
48,49,50,4898,17907
49,50,49,4898,15554
50,51,21905,23390,9137
51,52,21905,16829,3952
52,53,24420,24419,24709
53,54,19391,13401,18825
54,55,37,7431,31
55,56,7222,7367,18492
56,57,4694,20830,14800
57,58,59,6658,8550
58,59,58,6658,8550
59,60,5130,5972,21172
60,61,7610,11038,25072
61,62,5546,19642,61
62,63,19433,15104,22252
63,64,10048,21825,11039
64,65,14943,68,22040
65,66,14941,15377,1092
66,67,73,74,64
67,68,65,2911,69
68,69,68,15375,75
69,70,15395,7611,15392
70,71,1994,19681,22268
71,72,22386,14149,19386
72,73,67,74,9925
73,74,73,5202,67
74,75,68,69,15375
75,76,9942,5655,13442
76,77,8056,13180,11621
77,78,13034,12891,3219
78,79,17913,2232,8002
79,80,8358,4634,19555
80,81,10056,1453,8580
81,82,3183,7026,8145
82,83,19475,21224,22994
83,84,7898,14997,17304
84,85,15047,15313,21141
85,86,6044,1331,5609
86,87,13994,19642,86
87,88,21166,16715,2320
88,89,21627,8565,19062
89,90,7991,18700,24897
90,91,88,3254,22182
91,92,8034,24470,23673
92,93,3258,15649,16414
93,94,5539,10075,322
94,95,9283,21617,17345
95,96,4992,17536,24392
96,97,9574,99,14325
97,98,11861,482,7865
98,99,9574,105,9953
99,100,7228,3985,7437
100,101,14235,8223,15776
101,102,3039,7524,3964
102,103,17458,7194,3985
103,104,99,101,20590
104,105,99,14611,24730
105,106,2075,18387,24895
106,107,17016,2569,3145
107,108,16572,17886,828
108,109,12630,7400,3335
109,110,111,1642,712
110,111,110,1642,712
111,112,821,236,5153
112,113,14306,1144,11578
113,114,25000,15658,3004
114,115,15809,109,16513
115,116,10663,6558,12175
116,117,15588,25148,11127
117,118,3634,19975,6858
118,119,8705,6558,9106
119,120,8887,650,463
120,121,3759,3764,20738
121,122,5110,10663,9127
122,123,124,8252,11920
123,124,8252,5230,20810
124,125,7763,18652,1420
125,126,910,16577,16280
126,127,18723,5680,12516
127,128,12125,465,908
128,129,836,18701,116
129,130,8252,11440,11139
130,131,9796,20773,20810
131,132,3369,3368,3371
132,133,5236,2220,2681
133,134,7719,21102,8241
134,135,11314,4701,22745
135,136,4733,18485,3184
136,137,12598,24538,19275
137,138,2190,18235,12602
138,139,7321,7936,6367
139,140,22389,7917,21657
140,141,19552,22738,20133
141,142,15739,152,8859
142,143,6458,4252,15703
143,144,15163,10782,14730
144,145,15155,15668,977
145,146,13708,5961,19698
146,147,18997,3877,10682
147,148,546,12123,107
148,149,15742,6926,2668
149,150,23457,5099,12479
150,151,4966,12265,5638
151,152,15739,19738,11316
152,153,22943,16094,7290
153,154,10172,14878,9813
154,155,2312,1453,949
155,156,8287,621,1623
156,157,156,3500,1623
157,158,15770,18122,19344
158,159,2627,1507,654
159,160,8150,15037,22073
160,161,4325,4025,5629
161,162,2169,670,20137
162,163,3974,20238,2625
163,164,707,7741,17140
164,165,18219,15,19448
165,166,8371,22049,4410
166,167,4546,25009,17379
167,168,5241,12270,16707
168,169,1593,23060,2021
169,170,2729,13062,10499
170,171,10269,745,6154
171,172,23287,10059,18700
172,173,5979,12924,183
173,174,1507,15687,1265
174,175,13494,90,186
175,176,186,18564,10782
176,177,185,3797,14011
177,178,21260,173,8298
178,179,3441,25170,14191
179,180,354,1581,8953
180,181,20568,15773,6974
181,182,4868,6320,1252
182,183,5114,2527,18136
183,184,188,1238,4868
184,185,13175,22787,25086
185,186,2616,175,12844
186,187,386,2745,5211
187,188,184,1258,1238
188,189,12450,12538,12759
189,190,12272,17170,5190
190,191,3175,12445,11727
191,192,21506,5621,11302
192,193,12844,10078,15777
193,194,18821,6230,22902
194,195,9713,2742,11569
195,196,3690,197,4914
196,197,253,4997,1364
197,198,204,11687,989
198,199,211,4368,6580
199,200,979,1345,4146
200,201,5669,2743,19065
201,202,8614,1341,983
202,203,223,15811,15820
203,204,980,3400,4996
204,205,23904,5174,13329
205,206,1293,3857,11512
206,207,10845,8746,11436
207,208,3931,6235,6585
208,209,14729,5569,11544
209,210,16914,6537,256
210,211,199,218,5612
211,212,983,11544,202
212,213,20543,11548,14110
213,214,18372,5765,9411
214,215,14978,13847,10928
215,216,8367,11579,12292
216,217,11689,11688,16381
217,218,4879,211,217
218,219,3850,12277,14729
219,220,260,15794,7528
220,221,3399,8943,9301
221,222,8812,249,24437
222,223,989,257,1006
223,224,12164,10913,13018
224,225,254,5431,13547
225,226,998,20745,8526
226,227,17852,1868,931
227,228,17253,5260,15797
228,229,258,254,18372
229,230,8375,8896,18107
230,231,10913,10592,11098
231,232,264,10913,13126
232,233,8839,234,235
233,234,235,3574,10229
234,235,234,11402,10229
235,236,18772,6530,5153
236,237,15791,4486,15797
237,238,8949,18908,5665
238,239,7850,16914,10913
239,240,6201,16918,12900
240,241,5820,6415,11943
241,242,981,1022,4486
242,243,245,8872,244
243,244,248,8872,243
244,245,243,8872,248
245,246,8871,13478,247
246,247,248,245,244
247,248,244,245,8872
248,249,255,7944,5430
249,250,10593,6508,6513
250,251,253,264,23901
251,252,261,267,17254
252,253,256,11099,251
253,254,8256,225,11843
254,255,249,5430,12357
255,256,253,11947,1918
256,257,204,1006,237
257,258,229,254,854
258,259,11687,7621,11816
259,260,220,13318,15794
260,261,17254,8605,11399
261,262,8812,15826,17252
262,263,10916,19787,12848
263,264,11947,251,256
264,265,14597,249,4570
265,266,3400,12406,7640
266,267,261,252,15015
267,268,13100,13018,8186
268,269,13042,17988,6269
269,270,21957,15849,13482
270,271,15858,10909,11423
271,272,17300,29,2691
272,273,14158,14282,9132
273,274,275,25075,6723
274,275,287,3088,6723
275,276,14289,4908,22901
276,277,288,7986,22457
277,278,4685,18746,2869
278,279,11225,278,13005
279,280,21184,9845,5686
280,281,7933,20098,17897
281,282,20401,2492,9211
282,283,7561,18478,18481
283,284,9519,7915,14768
284,285,4733,14598,14201
285,286,7712,24259,21184
286,287,275,3088,7915
287,288,277,287,7986
288,289,12617,2157,9181
289,290,15899,296,15897
290,291,293,15899,15900
291,292,4459,294,15892
292,293,15897,15898,15900
293,294,292,4459,298
294,295,296,290,3382
295,296,15899,290,15897
296,297,298,3384,7002
297,298,297,7675,18797
298,299,298,8561,13875
299,300,7671,4947,13875
300,301,15890,23585,21952
301,302,8562,5366,22904
302,303,304,22448,1971
303,304,303,8086,15905
304,305,3723,306,307
305,306,7804,15918,8352
306,307,15907,1964,25160
307,308,7856,315,310
308,309,2772,21480,13218
309,310,15162,2279,14009
310,311,315,6275,3538
311,312,314,21206,686
312,313,6487,13680,6275
313,314,4598,319,758
314,315,308,311,7856
315,316,317,2279,310
316,317,316,2279,318
317,318,317,308,10963
318,319,2169,16402,13092
319,320,322,4670,5928
320,321,4670,320,5583
321,322,3107,320,5928
322,323,357,4462,1026
323,324,12880,1040,12543
324,325,340,12881,1040
325,326,5578,5273,323
326,327,5175,1036,4670
327,328,329,8720,336
328,329,12228,11429,11403
329,330,1031,6449,352
330,331,5278,5276,12747
331,332,14606,341,17505
332,333,2639,8296,10229
333,334,342,10623,11640
334,335,341,21832,3059
335,336,11430,6113,6088
336,337,6370,357,6088
337,338,4462,357,1026
338,339,657,345,3840
